waa’ankieli	escamaen el tobillo
werovalmistelu	preparación de impuestos
werovapaus	exoneración fiscal
werovarat	activos fiscales
werovelvollisuus	obligación tributaria
werovilppi	fraude fiscal
weroviranomainen	agencia tributaria
werovirasto	Consejo Fiscal Nacional
werovuosi	ejercicio fiscal
werovähennys	exención fiscal
weroäyri	tax aire
werrannollisuus	Proporcionalidad
werranto	incremento
werrari	comparador
werrattomuus	incomparabilidad
werrokki	control
werrokkieläin	animal de control
werrokkipotilas	paciente de control
werrokkiryhmä	grupo de control
werryttely	calentamiento
werryttelyheitto	tiro de calentamiento
werryttelyhousut	pantalones de chándal
werryttelyjuoksu	carrera de la pista
werryttelyliike	movimiento de estiramiento
werryttelypuku	Chandal
werryttelypusero	parte superior de la pista
werryttelyvauhti	tasa de calentamiento
werrytys	dimensionamiento
wersaali	versaal
wersio	Versión del Sistema Operativo
wersiointi	control de versiones
werso	vástago
wersojuuri	raíz fibrosa
wersokasvi	planta de brotes
wersonta	brotación
wersosurma	versosurma
wersosyöpä	tristeza de las resinosas
werstas	taller
werta	sangre
wertailu	confrontación
wertailuaineisto	material de referencia
wertailuanalyysi	Análisis comparativo
wertailuaste	tasa de comparación
wertailukehittäminen	evaluación comparativa
wertailukelpoisuus	Comparabilidad
wertailukohde	Criterios de referencia
wertailukohta	punto de referencia
wertailuluku	punto de referencia
wertailumenetelmä	método de referencia
wertailumuoto	formato de referencia
wertailupohja	base de comparación
wertailuryhmä	grupo de control
wertaisarviointi	revisión por pares
wertaisryhmä	Comité Paritario
wertaissovittelu	mediación entre pares
wertaistuki	intervención entre iguales
wertaistukihenkilö	persona de apoyo entre pares
wertaisuus	peer to peer
wertaisverkko	red paritaria
wertaus	comparación
wertauskohde	comparador
wertauskohta	punto de comparación
wertauskuva	metáfora
wertauskuvallisuus	metafórico
wertausluku	figura comparativa
wertausperuste	criterio comparativo
wertikaali	cortes longitudinales
wertikaalitaso	plano vertical
werto	verto
weruke	galimatías
weräjä	puerta programada
weräjänvahti	portero
weräjänvartija	portero
weräjäpuu	árbol de injertos
wesa	brote
wesaikko	pozo de agua
wesakko	monte bajo
wesakkoisuus	vesakismo
wesakkomyrkky	veneno vesicular
wesakontorjunta	control de escombros
wesametsä	monte bajo
wesaus	costura
wesi	agua
wesiaihe	tema del agua
wesiallas	piscina de agua
wesialue	cuerpo acuoso
wesiarvo	valor del agua
wesiastia	longitud de bebedero
wesibussi	waterbus
wesieliö	organismo acuático
wesieläimistö	fauna acuática
wesieläin	animal acuático
wesielämä	vida acuática
wesiensuojelu	protección de agua
wesieriste	impermeabilización
wesieristys	capa de impermeabilización
wesieste	barrera de agua
wesihana	grifo de agua
wesihaude	baño María
wesihauta	zanja de agua
wesiheinä	heno de agua
wesihelmi	perla de agua
wesiherne	guisante de agua
wesihieronta	hidromasaje
wesihiihto	esquí acuático
wesihiihtäjä	esquiador de agua
wesihiisi	hidroeléctrica
wesihionta	molienda con agua
wesihiukkanen	partícula de agua
wesihuolto	infraestructuras hidráulicas y de aguas residuales
wesihuuhtelu	descarga de agua
wesihygienia	higiene del agua
wesihygieniapassi	pasaporte de Higiene del Agua
wesihyönteinen	insecto acuático
wesihämähäkki	araña de agua
wesihöyry	vapor
wesijalanjälki	huella hídrica
wesijetti	embarcación
wesijohto	acueductos
wesijohtoliike	acueducto
wesijohtoputki	tubería de agua
wesijohtoverkko	red de distribución
wesijohtovesi	Agua entubada
wesijumppa	gimnasia acuática
wesijuoksu	corrida de agua
wesijuoksuvyö	cinta para correr agua
wesijättö	descarga de agua
wesijättömaa	desperdicio de agua suelo
wesijäähdytys	refrigeración por inmersión
wesikaapeli	cable de agua
wesikaasu	gas de agua
wesikaluste	accesorios de fontanería
wesikalvo	película acuosa
wesikampaus	corte de pelo de agua
wesikannu	regadera de moldeador
wesikarahvi	garrafa de agua
wesikaste	rocío de agua
wesikasvi	planta acuática
wesikasvillisuus	flora acuática
wesikasvisto	flora acuática
wesikattila	caldera de agua
wesikatto	tejado
wesikauha	cuchara de agua
wesikauhu	rabia
wesikehä	hidrosfera
wesikeli	clima acuático
wesikelkka	trineo acuático
wesikello	vesícula
wesikerros	capa de agua
wesiketju	cadena de agua
wesikirppu	pulga de agua
wesikivi	waterstone
wesikko	Mustela lutreola
wesiklosetti	inodoro con descarga
wesikoe	prueba de agua
wesikouru	obra de paso de agua sobre un canal
wesikrassi	berro de fuente
wesikulkuneuvo	empujada
wesikuppi	taza de agua
wesikuuntelu	escucha de agua
wesikäymälä	inodoro de agua
wesikäärme	serpiente de agua
wesilaitos	planta abastecedora de agua
wesilammikko	estanque para extinción
wesilasi	vaso de agua
wesilasillinen	un vaso de agua
wesilasku	factura de agua
wesilasti	carga de agua
wesilauta	waterboard
wesilautailu	submarino
wesileima	filigrana
wesileipärangaistus	castigo acuático
wesileipävankeus	encarcelamiento por pan de agua
wesilentokone	hidroavión
wesiletku	manguera de agua
wesilevintä	hidrocoria
wesiliikenne	transporte marítimo y por vías navegables interiores
wesiliikennejuopumus	intoxicación por agua
wesiliikunta	ejercicio acuático
wesiliirto	aquaplaning
wesilinja	línea de agua
wesilinnusto	aves acuáticas
wesilintu	ave acuática
wesilisko	lagarto de agua
wesilitra	litro de agua
wesiliukoisuus	solubilidad en agua
wesiliukumäki	tobogán de agua
wesiliukurata	tobogán de agua
wesiliuos	solución acuosa
wesillelasku	botadura
wesillelaskutilaisuus	evento de lanzamiento
wesilläliikkuja	navegantes acuáticos
wesilläolo	estar en el agua
wesilukko	válvula hidráulica
wesilätäkkö	charco de agua
wesimaksu	tarifa del agua
wesimassa	masa de agua
wesimatka	viaje acuático
wesimeloni	sandía
wesimies	aguazodiac symbol for Pices
wesimikrobi	microbio del agua
wesimittari	contador de agua
wesimolekyyli	molécula de agua
wesimylly	molino de agua
wesimyyrä	rata de agua
wesinokka	pico de hidrógeno
wesinoro	vesinoro
wesinäyte	muestra de agua
wesioikeus	derechos de agua
wesipallo	waterpolo
wesipalloilija	jugador de waterpolo
wesipalloilu	waterpolo
wesipallojoukkue	equipo de waterpolo
wesipallo-ottelu	partido de waterpolo
wesipata	olla de agua
wesipatja	colchón de agua
wesipatsas	columna de agua
wesipeite	cubierta de agua
wesiperhonen	mariposa de agua
wesipesu	lavado con agua
wesipeto	bestia de agua
wesipiippu	hookah
wesipilari	columna de agua
wesipinta	superficie del agua
wesipisara	gotitas de agua
wesipiste	punto de agua
wesipitoisuus	contenido en agua
wesiposti	hidrante
wesipuhveli	Caraboa, búfalo acuático
wesipuisto	parque acuático
wesipula	escasez de agua
wesipullo	botella de agua
wesipumppu	bomba de agua
wesiputki	conducto de agua
wesiputous	Cascada
wesipyörre	vórtice de agua
wesipyörä	rueda hidráulica
wesipyöräily	ciclismo acuático
wesipähkinä	castana de agua
wesipäisyys	hidrocefalia
wesipää	Hidrocefalia
wesipääsky	falaropo picofino
wesipöhö	ascitis
wesiraja	línea de flotación
wesirakennus	edificio de agua
wesirakennustekniikka	ingeniería hidráulica
wesirakennustyö	instalaciones de abastecimiento de agua
wesirakko	vesícula
wesirakkula	vesícula
wesiratas	rueda hidráulica
wesireaktori	reactor de agua
wesireitti	derramadero
wesiretkeily	senderismo acuático
wesirikko	ruptura de agua
wesirinkeli	bagel de agua
wesirinkilä	rotonda de agua
wesirokko	varicela
wesirokkovirus	Varicellovirus
wesirutto	plaga de agua
wesiruukku	olla de agua
wesiryöppy	cascada de agua
wesiränni	conducto de agua
wesisaavi	arcilla de agua
wesisade	lluvia
wesisammio	cuba de agua
wesisanko	cubo de agua
wesisiippa	tetina de agua
wesisiira	sirena de agua
wesiskootteri	jet ski
wesiskorpioni	escorpión de agua
wesistö	red hidrográfica
wesistöalue	cuenca hidrográfica
wesistöeste	obstáculo de agua
wesistökuormitus	carga de agua
wesistönsäännöstely	regulación del agua
wesistöreitti	ruta del curso de agua
wesistötiede	ciencias del agua
wesistötutkimus	investigación del sistema de agua
wesisuihku	rociado de agua
wesisuihkumoottori	motor de chorro de agua
wesisuksi	hidrosquí
wesisuoni	embarcación
wesisynnytys	nacimiento en el agua
wesisäiliö	cisterna
wesisänky	cama de agua
wesitaito	habilidades en el agua
wesitaksi	taxi acuático
wesitalous	gestión del agua
wesitankki	tanque de uso diario
wesitaso	hidroavión de flotadores
wesitatar	polígono anfibio
wesitie	relé de agua de circuito cerrado
wesitilkka	gota de agua
wesitilkkanen	gota de agua
wesitilus	estanco
wesitippa	gota de agua
wesitorni	torre de agua
wesiturbiini	turbina hidráulica
wesitykki	cañón de agua
wesitynnyri	tambor de agua
wesitys	deshidratación
wesitystauti	enfermedad por deshidratación
wesityökortti	tarjeta de trabajo de agua
wesitähti	estrella de agua
wesitäyte	llenado de agua
wesiuoma	vía fluvial
wesiurheilu	watersport
wesiurheilulaji	deportes acuáticos
wesiurut	órgano de agua
wesivaaka	nivel de burbuja
wesivahinko	daño por agua
wesivaippa	camisa de agua
wesivaippatakka	chimenea de camisa de agua
wesivako	zanjillo
wesivaneri	contrachapado de agua
wesivarasto	volumen
wesivarat	masa de agua
wesivelli	sandía
wesivessa	inodoro de agua
wesiviiva	línea de flotación
wesiviljely	acuicultura
wesivirta	flujo de agua
wesivoima	hidráulica
wesivoimakone	máquina hidroeléctrica
wesivoimala	Central hidroeléctrica
wesivoimavarat	recursos hidroeléctricos
wesivoimistelu	gimnasia acuática
wesivyö	cinturón de agua
wesiväri	acuarela
wesivärimaalaus	pintura de acuarela
wesivärinappi	botón de acuarela
wesivärityö	trabajo de acuarela
wesiväylä	canal
wesiylioikeus	Tribunal Superior de las Aguas
wesiämpäri	cubo para agua
weska	veska
weskari	veskari
weski	molino
wesper	vesper
wessa	inodoro
wessahätä	emergencia del inodoro
wessanpytty	inodoro
wessanpönttö	taza de inodoro
wessapaperi	papel higiénico
wesseli	gel higiénico
wessi	wessi
western	Westerns
westonomi	vestonomi
wesuri	podaderas
wetehinen	hidroeléctrica
wetelehtijä	usurpador
wetely	deformación
wetelys	holgura
wetelyys	lentitud
weteraani	Veterano
weteraanipoliitikko	político veterano
weteraanipäivä	día de los veteranos
wetimet	tirones
wetistely	riego
weto	corriente de aire
weto	corriente de aire
weto	corriente de aire
wetoaisa	barra de tracción
wetoaja	apostante
wetoakseli	cabrestante
wetoakselisto	eje de transmisión
wetoapu	asistencia a la tracción
wetoaura	arado de tracción
wetoauto	vehículo tractor
wetohärkä	buey de tiro
wetoisuus	tonelaje
wetojuhta	animal de tiro
wetokaappi	Campana extractora
wetokalusto	equipo de remolque
wetoketju	cremallera
wetokoira	perro de tiro
wetokone	máquina para ensayos de tracción
wetokoukku	gancho de remolque
wetoköysi	estacha de remolque
wetolaatikko	caja de alojamiento
wetolaukku	saco de tirar
wetoliike	movimiento de tracción
wetolujuus	fuerza tensil
wetoluukku	jalar escotilla
wetomitta	calibre de tracción
wetonaru	cordón de tracción
wetonaula	atracción
wetoniitti	remache ciego
wetoniittipihdit	alicates de tracción
wetonumero	número de apuesta
wetonuppi	tirar de la perilla
weto-oikeus	derecho de veto
wetooja	apostante
wetoomus	petición
wetopasuuna	barril de tracción
wetoporo	renos de tiro
wetopyörästö	engranaje de transmisión
wetosolmu	tirar del nudo
wetosuunta	sentido del estiramiento del paño
wetoteline	barra de tracción
wetouistelu	arrastre de tracción
wetouistin	carro de tracción
wetovaijeri	cable de arrastre
wetovalikko	menú que se puede abrir y cerrar como una ventana
wetovaunu	tractor
wetovoima	fuerza de tracción
wetreytys	pulverización
wetristys	jittering
wetskari	cremallera
weturi	locomotora
weturihalli	salón de locomotoras
weturimiehistö	tripulación de la locomotora
weturimies	hombre locomotora
weturinkuljettaja	motorista
weturinlämmittäjä	calentador de locomotora
weturitalli	garaje de locomotoras
weturiyritys	empresa de locomotoras
wety	hidrógeno
wetykaasu	gas hidrógeno
wetykloridihappo	6.2 Incompatibilidades
wetyperoksidi	peróxido de hidrógeno
wetypommi	bomba de hidrógeno
wetysidos	puente de hidrógeno
wetysuperoksidi	superóxido de hidrógeno
wety-yhdiste	compuesto de hidrógeno
wetäisy	tirando
wetäjä	anfitrión
wetävyys	capacidad nominal
wetäytymisoperaatio	operación de retirada
wetäytymistaistelu	batalla de retirada
whippet	whippet
whisky	whisky
whoopie	whoopie
wiallisuus	imperfección
wiattomuus	inocencia
wibra	vibra
wibraatio	Vibraciones
wibraattori	vibrador
wibrafoni	Vibráfono
wibrafonisti	vibrafonista
wibrato	vibrato
wichy	vichy
wichyvesi	vichyvesi
wideo	vídeo
wideoblogi	blog de vídeo
wideoelokuva	vídeo película
wideofilmi	película de vídeo
wideointi	Grabación en Video
wideokamera	cámara de vídeo
wideokasetti	videocasete
wideokirjasto	videoteca
wideoklippi	clip de vídeo
wideokonferenssi	videoconferencia
wideokuva	imagen de vídeo
wideokuvaaja	videógrafo
wideokuvaus	grabación de vídeo
wideolaite	dispositivo de vídeo
wideoleike	Vídeo clip
wideolevy	videodisco
wideonauha	videocinta
wideonauhoite	grabación de vídeo
wideonauhuri	videocasete
wideoneuvottelu	videoconferencia
wideo-ohjelma	programa de vídeo
wideopaja	taller de vídeo
wideopalvelu	servicio de vídeo
wideopeli	juego de ordenador
wideoprojektori	videoproyector
wideopuhelin	videoteléfono
wideopuhelu	videollamada
wideosignaali	señal video
wideotaide	vídeo arte
wideotaiteilija	artista de vídeo
wideotallenne	grabación de vídeo
wideotarkistus	revisión de vídeo
wideotaulu	placa de vídeo
wideoteekki	videoteca
wideotekniikka	tecnología de vídeo
wideoteksi	teleservicio de videotex
wideotuomari	juez de vídeo
wideotykki	proyector de vídeo
wideovalvonta	21 sus datos (
wideoviihde	entretenimiento en vídeo
wideovuokraamo	alquiler de vídeos
wideoväkivalta	violencia por vídeo
wideoyhteys	enlace de video
widiootti	vidiot
wiehe	señuelo
wiehekalastus	pesca con caña
wiehkeys	gracia
wiehtymys	atracción
wiehättävyys	allure
wiehätys	encanto
wiehätysvoima	encanto
wiejä	Exportador:
wiejämaa	país exportador
wiekastelu	seducción
wiekkaus	astucia
wiekoittelu	seducción
wiekoitus	tentación
wieminen	exportando
wiemäri	de alcantarillado
wiemäriaukko	salida de drenaje
wiemärihyttynen	mosquito de alcantarilla
wiemärikaasu	gases de cloaca
wiemärikaivo	pozo de drenaje
wiemärilaitos	planta de alcantarillado
wiemäriputki	conexión de vaciado
wiemäriputkisto	tuberías de alcantarillado
wiemäristö	sistema de alcantarillado
wiemärisuoli	Cloaca
wiemäriverkko	sistemas artificiales de drenaje
wiemäröinti	Drenaje de Agua
wienerleipä	pan de salchicha
wienervalssi	vals de Viena
wieniläistuoli	silla vienesa
wieniläisvalssi	vals vienés
wieninleike	clip vienés
wienous	exportar
wienti	exportaciones
wientiartikkeli	exportar artículo
wientihinta	Precio de exportación
wientikauppa	comercio de exportación
wientikielto	prohibición de exportación
wientikiintiö	cuota de exportación
wientikoulutus	formación en exportación
wientikysyntä	demanda de exportación
wientiliike	negocio de exportación
wientilisenssi	licencia de exportación
wientiluotto	crédito a la exportación
wientilupa	autorización de exportación
wientimaa	país exportador
wientimaksu	exacción a la exportación
wientimalli	exportar modelo
wientimallisto	exportar colección
wientimarkkinat	mercados de exportación
wientimarkkinointi	marketing de exportación
wientimäärä	volumen de exportación
wientinäyttely	exposición de exportación
wientipalkinto	premio a la exportación
wientipalkkio	comisión de exportación
wientipolitiikka	política de exportación
wientirajoitus	restricción a la exportación
wientisatama	puerto de exportación
wientisopimus	contrato de exportación
wientisäännöstely	control de exportación
wientitakuu	garantía de exportación
wientitavara	mercancías a exportar
wientiteollisuus	industria exportadora
wientituki	subvención a la exportación
wientituote	exportar producto
wientivoittoisuus	rentabilidad de las exportaciones
wieraantuneisuus	alienación
wieraanvara	hospitalidad
wieraanvaraisuus	hospitalidad
wieraanvoittoisuus	hospitalidad
wierailija	visitante
wierailu	visita
wierailuaika	tiempo de visita
wierailuasu	equipo de visita
wierailukutsu	invitación a visitar
wierailukäynti	visita
wierailunäytäntö	política de visitas
wierasaine	contaminante
wierasesine	cuerpo extraño
wierashuone	habitación de invitados
wierasjoukko	multitud de huéspedes
wierasjoukkue	equipo visitante
wierasjää	hielo para huéspedes
wieraskenttä	campo de invitado
wieraskirja	libro de circunstancia
wieraskoreus	corrugación de invitados
wieraskuntalainen	huésped
wieraskutsut	invitaciones de huéspedes
wieraskäynti	visita
wieraslaji	especie exótica
wierasmaali	gol de visitante
wierasmaja	casa de huéspedes
wierasmies	hombre huésped
wierasottelu	partido fuera de casa
wieraspaikka	lugar del huésped
wieraspeli	juego extranjero
wierasperäisyys	origen extranjero
wieraspöytä	mesa de invitados
wierassana	huésped
wierassatama	puerto de huéspedes
wierassänky	cama para huéspedes
wierastaistelija	luchador extranjero
wierastalo	casa de huéspedes
wierastulva	inundación de huéspedes
wierastunti	lección para huéspedes
wierastyöläinen	trabajador migrante
wierastyövoima	mano de obra invitada
wierasvara	habitación de invitados
wierasvenesatama	puerto para huéspedes
wierasvoitto	premio de invitado
wierasvuode	cama para huéspedes
wieraus	visita
wierekkäisyys	adyacencia
wieremä	deslizamiento de tierras
wieri	lado
wierialue	zona de rodadura
wierihoito	Alojamiento Conjunto
wierimiskitka	fricción de balanceo
wierinkivi	canto
wierintälaakeri	apoyo basculante
wieritys	pasada secuencial
wieroitus	desintoxicación
wieroitusaika	periodo de destete
wieroitushoito	tratamiento de la drogodependencia
wieroitusoire	Síndrome de abstinencia
wieroitusryhmä	grupo de destete
wieroksunta	destete
wierre	mosto de cerveza
wiertotie	carretera secundaria
wierus	margen
wieruskulma	ángulo lateral
wieruspari	uno al lado del otro
wierusta	raspar
wierustoveri	acompañante
wierähdys	visita
wiesti	mensaje
wiestihiihto	esquí de mensaje
wiestijoukkue	equipo de mensajes
wiestijoukot	conjuntos de mensajes
wiestijuoksu	recorrido del relé
wiestikalusto	equipo de mensajería
wiestikapula	bastón
wiestiketju	hilo de mensajes
wiestikilpailu	concurso de mensajes
wiestikomppania	empresa de mensajería
wiestikyyhky	paloma mensajera
wiestilappu	etiqueta de mensaje
wiestimestaruus	campeonato de medios
wiestimestaruuskilpailu	campeonato de comunicación
wiestimiehistö	equipo de mensajería
wiestimies	mensajero
wiestin	mensaje
wiestinhiihto	esquí de mensaje
wiestinjuoksu	ejecutar un mensaje
wiestijuoksujoukkue	equipo de carrera de relevos
wiestintuoja	mensajero
wiestintä	comunicación
wiestintäjärjestelmä	Equipo de comunicaciones.
wiestintäkanava	canal de comunicación
wiestintäkasvatus	educación en comunicación
wiestintäministeri	ministro de Comunicaciones
wiestintäministeriö	ministerio de Comunicaciones
wiestintäpolitiikka	política de comunicación
wiestintärikos	delito de comunicación
wiestintäsalaisuus	secreto de las comunicaciones
wiestintäsatelliitti	satélite de comunicaciones
wiestintätekniikka	En tecnología de la comunicación
wiestintätiede	ciencias de la comunicación
wiestintätoimisto	oficina de comunicaciones
wiestintävaliokunta	comité de Comunicaciones
wiestintäväline	medios de comunicación
wiestintäyhteys	comunicación
wiestintäyhtiö	empresa de comunicaciones
wiestinuinti	mensajería
wiestinvaihto	comunicación
wiestinviejä	mensajero
wiestiosuus	sección de mensajes
wiestisovellus	Aplicación Mensajería
wiestisuunnistus	navegación de mensajes
wiestittely	mensajería
wiestittäjä	comunicador
wiestitys	mensajería
wiestiuinti	mensajería nadar
wiestivoitto	ganancia de mensaje
wiestiväline	medio de comunicación
wiestiyhteys	conexión de mensajes
wieteri	Resorte
wietnam	vietnamita
wiettelevyys	seducción
wiettelijä	seductor
wiettelijätär	seductora
wiettely	seducción
wiettelys	seducción
wietti	Impulso (Psicología)
wiettienergia	energía instintiva
wiettipohja	Ello
wietto	celebración
wiettymys	lentitud
wiettäjä	seductor
wifi	wifi
wigilia	vigilia
wigwam	wigwam
wiha	odio
wihaaja	odioso
wihaisuus	Hipocaliemia
wihamielisyys	Hostilidad
wihamies	enemigo
wihannes	hortalizas
wihanneskasvi	planta de hortalizas
wihanneskauppias	verdulero
wihanneskeitto	sopa de verduras
wihanneskrassi	berros
wihanneslaji	especie vegetal
wihanneslajike	variedad de hortalizas
wihannesleikkuri	cortador de verduras
wihannesmaa	suelo vegetal
wihannespalsta	parcela de hortalizas
wihannespaprika	chile
wihannespunkki	ácaro rojo
wihannesruoka	alimento vegetal
wihannessato	cultivo de hortalizas
wihannessinappi	mostaza vegetal
wihannesspagetti	espaguetis de verduras
wihannessäilyke	verduras enlatadas
wihannestarha	huerto
wihannestori	greenstore
wihannesveitsi	cuchillo de verduras
wihannesviljelmä	plantación de hortalizas
wihannesviljely	cultivo de hortalizas
wihannesviljelys	cultivo de hortalizas
wihanpito	hostilidades
wihanpurkaus	arrebato de ira
wihantalannoitus	abono verde
wihantalannoituskasvi	planta de fertilizantes para cultivos
wihantarehu	pasto verde(LA)
wihapuhe	incitación al odio
wiha-rakkaussuhde	relación odio-amor
wiharikos	delito motivado por prejuicios
wihastus	ira
wihdas	limpio
wihdaskoivu	abedul verde
wihdonta	batido
wiheliäisyys	maldad
wihellys	silbido
wihellyskonsertti	concierto de silbidos
wihellyspilli	silbato de señales
wiheltäjä	silbador
wiheralue	zonas verdes
wiherhiukkanen	partícula verde
wiherhuone	invernadero solar
wiheriö	verde
wiheriöinti	ecologización
wiherjauho	harina de hierba
wiherkaava	patrón verde
wiherkaihi	GLAUCOMA
wiherkaista	faja verde
wiherkasvi	planta de la hoja
wiherkatto	techo verde
wiherkesanto	barbecho verde
wiherlannoitus	abonado verde
wiherlannoituskasvi	abono verde
wiherlevä	clorofíceas
wihermehu	zumo verde
wiherminttu	hierbabuena
wihernopsasiipi	vihernopsasiipi
wiherpeippo	Verderón
wiherpesu	blanqueo ecológico
wiherpeukalo	pulgar verde
wiherpiipertäjä	heredera verde
wiherpipertäjä	pimiento verde
wiherpippuri	pimiento verde
wiherrakentaminen	paisajismo
wiherrys	verde
wiherseinä	muro verde
wihersilta	puente verde
wihersipuli	cebolla verde
wihervarpunen	lúgano
wihervyöhyke	zona de espacios verdes
wihi	pista
wihikoira	sabueso
wihivaunu	carro electroguiado
wihjailu	insinuación
wihjaus	pista
wihje	pista
wihjeistys	pista
wihjeitys	pista
wihjeytys	sugerencia
wihkialttari	altar matrimonial
wihkijakkara	taburete de boda
wihkijä	autoridad competente para autorizar el matrimonio
wihkikaava	fórmula de boda
wihkikappeli	capilla nupcial
wihkikirkko	iglesia de bodas
wihkikuva	foto del cuaderno
wihkimisjuhla	banquete de bodas
wihkimiskaava	fórmula de boda
wihkimistilaisuus	ceremonia DE matrimonio
wihkimistodistus	acta DE matrimonio
wihkimistoimitus	ordenanza matrimonial
wihkimys	iniciación
wihkimäkaava	fórmula matrimonial
wihkimätodistus	certificado de matrimonio
wihkipalli	bola de matrimonio
wihkipappi	sacerdote matrimonial
wihkipari	un par de bodas
wihkipuhe	discurso de boda
wihkipuku	vestido de novia
wihkiraamattu	libro de bodas
wihkiryijy	alfombra de boda
wihkiseremonia	ceremonia de boda
wihkisormus	anillo de bodas
wihkitilaisuus	ceremonia de boda
wihkitodistus	acta de matrimonio
wihkitoimitus	entrega de bodas
wihkivesi	agua bendita
wihkivesiastia	recipiente de agua bendita
wihkiäiset	bodas
wihkiäispuhe	discurso de inauguración
wihkiäistilaisuus	ceremonia de dedicación
wihko	cuaderno
wihkollinen	enemigo
wihkonen	Folleto
wihkotasetti	juego de equilibrado de folletos
wihlaisu	odiosidad
wihma	rociones
wihma	rociones
wihmin	lloviendo
wihmoitin	aspersor
wihne	barba
wihoittelu	enfado
wiholainen	enemigo
wihollinen	enemigo
wihollisalue	zona enemiga
wihollisalus	confinamiento enemigo
wihollisarmeija	ejército enemigo
wihollisasema	posición enemiga
wihollisjoukko	fuerza enemiga
wiholliskansa	pueblo enemigo
wiholliskohde	objetivo enemigo
wiholliskone	aeronave enemiga
wihollislaivasto	flota enemiga
wihollisleiri	campamento enemigo
wihollislentokone	aeronave enemiga
wihollislentäjä	piloto enemigo
wihollismaa	tierra enemiga
wihollispartio	patrulla enemiga
wihollispatteri	batería enemiga
wihollispesäke	colonia enemiga
wihollisrintama	frente enemigo
wihollissotilas	soldado enemigo
wihollisupseeri	oficial enemigo
wihollisuus	hostilidad
wihollisvaltio	estado enemigo
wihollisvoimat	fuerzas enemigas
wihreys	vegetación
wihta	odiar
wihtahousu	odiar pantalones
wihtori	vihtori
wihtrilli	trucha verde
wihulainen	vihulainen
wihuri	arcoíris
wihurirokko	rubéola
wihurirokkovirus	Virus de la Rubéola
wihvilä	pista
wiidakko	Selva
wiidakkolennätin	telégrafo de la selva
wiidakkopuhelin	teléfono de la selva
wiidakkorumpu	tambor de selva
wiidakkosota	guerra en la selva
wiidakkoveitsi	machete
wiidennes	quinto
wiidesluokkalainen	alumno de quinto grado
wiidesosa	una quinta parte
wiihde	Entretenimiento
wiihde-elektroniikka	línea marrón
wiihdekirja	libro de entretenimiento
wiihdekirjallisuus	literatura de entretenimiento
wiihdekonsertti	concierto de entretenimiento
wiihdekulttuuri	cultura del entretenimiento
wiihdekuoro	coro de entretenimiento
wiihdekylpylä	spa de entretenimiento
wiihdekäyttö	uso recreativo
wiihdelukemisto	catálogo de entretenimiento
wiihdemusiikki	música entretenida
wiihdeohjelma	programa de entretenimiento
wiihdeorkesteri	orquesta de entretenimiento
wiihdesovitus	montaje de entretenimiento
wiihdetaiteilija	animador
wiihdeteollisuus	industria del entretenimiento
wiihdyke	entretenimiento
wiihdyte	entretenimiento
wiihdyttäjä	animador
wiihdytys	entretenimiento
wiihdytyskiertue	recorrido de entretenimiento
wiihteellisyys	entretenimiento
wiihteentekijä	animador
wiihtyisyys	comodidad
wiihtymys	entretenimiento
wiihtyvyys	bienestar
wiikari	binoculares
wiikate	Guadaña
wiikatemies	parca
wiikatteenterä	cuchilla ranuradora
wiikatteenvarsi	brazo de guadaña
wiikinki	vikingo
wiikinkiaika	era vikinga
wiikinkialus	barco vikingo
wiikinkihauta	tumba vikinga
wiikinkikulttuuri	cultura vikinga
wiikinkilaiva	barco vikingo
wiikinkipäällikkö	jefe vikingo
wiikinkiretki	tour vikingo
wiikkaus	sesgo
wiikko	semana
wiikkoansio	ingresos semanales
wiikkohoroskooppi	horóscopo semanal
wiikkojulkaisu	publicación semanal
wiikkokatsaus	ECOS DE LA SESIÓN
wiikkokausi	semana
wiikkolehti	revista semanal
wiikkolepo	descanso en día laborable
wiikkoliite	archivo adjunto semanal
wiikkopalkka	salario semanal
wiikkopäivyri	día laborable
wiikkoraha	asignación semanal
wiikkosiivous	limpieza semanal
wiikkotunti	hora semanal
wiikkovuokra	alquiler semanal
wiikonloppu	fin de semana
wiikonloppuisä	papá de fin de semana
wiikonloppumatka	escapada de fin de semana
wiikonloppuruuhka	horas punta de fin de semana
wiikonloppuäiti	mamá de fin de semana
wiikonpäivä	DIADESEMANA
wiikonvaihde	turno de fin de semana
wiiksenalku	base de bigote
wiiksi	bigote
wiiksikarva	bigote
wiiksiniekka	pezón del bigote
wiiksisiippa	pezón del bigote
wiiksisäie	hilo de bigote
wiiksitimali	Bigotudo
wiiksivaha	cera de bigote
wiikuna	higuera
wiikunanlehti	hoja de parra
wiikunapuu	higuera
wiila	lima
wiilaaja	creador de archivos
wiilajauhe	polvo de lima
wiilanpuru	migas de filamento
wiilapenkki	mesa de trabajo
wiilari	archivador
wiilari	archivador
wiilaus	limado
wiileke	enfriar
wiilennys	enfriamiento
wiileskely	enfriamiento
wiiletys	enfriamiento
wiileys	frescura
wiileäkaappi	enfriador
wiili	"viili/fil",
wiiliastia	bandeja de archivos
wiilikulho	file bowl
wiilipytty	enfriador
wiille	rebanada
wiillokki	incisión
wiillos	incisión
wiilokki	gaviota carillera
wiilto	entalladura
wiiltohaava	herida por incisión
wiilu	chapas de madera
wiilupuu	madera chapada
wiilutus	enchapado
